"age","sex","agehrp","ethnicityew","ethhuk11","n"
1,1,17,2,2,5
1,1,17,5,2,1
1,1,17,6,6,1
1,1,17,7,7,1
1,1,18,2,2,31
1,1,18,5,2,2
1,1,18,6,6,1
1,1,18,7,5,1
1,1,18,7,7,1
1,1,19,2,2,85
1,1,19,2,4,1
1,1,19,4,2,2
1,1,19,5,2,6
1,1,19,5,3,1
1,1,19,5,4,1
1,1,19,5,5,1
1,1,19,6,2,5
1,1,19,6,6,2
1,1,19,7,7,3
1,1,19,8,8,1
1,1,20,2,2,167
1,1,20,2,4,1
1,1,20,2,5,3
1,1,20,3,3,1
1,1,20,4,2,1
1,1,20,4,4,5
1,1,20,5,2,9
1,1,20,5,5,6
1,1,20,5,6,2
1,1,20,5,7,2
1,1,20,7,7,4
1,1,20,8,8,3
1,1,21,2,2,203
1,1,21,2,4,2
1,1,21,2,5,3
1,1,21,2,7,2
1,1,21,2,8,1
1,1,21,4,2,3
1,1,21,4,4,3
1,1,21,5,2,14
1,1,21,5,4,1
1,1,21,5,5,5
1,1,21,5,6,1
1,1,21,5,7,1
1,1,21,5,8,1
1,1,21,6,6,3
1,1,21,7,2,1
1,1,21,7,7,10
1,1,21,8,6,1
1,1,21,8,7,1
1,1,22,2,2,220
1,1,22,2,5,2
1,1,22,2,8,1
1,1,22,4,2,2
1,1,22,4,4,10
1,1,22,4,8,1
1,1,22,5,2,16
1,1,22,5,4,1
1,1,22,5,5,7
1,1,22,6,6,8
1,1,22,7,2,1
1,1,22,7,7,8
1,1,22,8,8,2
1,1,23,2,2,282
1,1,23,2,4,5
1,1,23,2,5,1
1,1,23,2,7,1
1,1,23,2,8,1
1,1,23,4,2,1
1,1,23,4,4,7
1,1,23,4,8,1
1,1,23,5,2,11
1,1,23,5,5,11
1,1,23,5,6,1
1,1,23,5,7,3
1,1,23,5,8,1
1,1,23,6,2,1
1,1,23,6,6,3
1,1,23,7,2,1
1,1,23,7,7,11
1,1,23,7,8,1
1,1,23,8,8,2
1,1,24,2,2,291
1,1,24,2,3,1
1,1,24,2,4,5
1,1,24,2,7,2
1,1,24,4,2,6
1,1,24,4,4,7
1,1,24,4,5,1
1,1,24,5,2,20
1,1,24,5,4,1
1,1,24,5,5,5
1,1,24,5,7,4
1,1,24,5,8,1
1,1,24,6,6,12
1,1,24,7,5,1
1,1,24,7,7,13
1,1,24,8,6,1
1,1,25,2,2,367
1,1,25,2,4,6
1,1,25,2,5,3
1,1,25,4,4,14
1,1,25,4,6,1
1,1,25,5,2,23
1,1,25,5,4,1
1,1,25,5,5,4
1,1,25,5,6,1
1,1,25,5,7,6
1,1,25,6,6,25
1,1,25,7,2,2
1,1,25,7,4,2
1,1,25,7,5,2
1,1,25,7,7,24
1,1,25,8,8,3
1,1,26,2,2,384
1,1,26,2,4,5
1,1,26,2,5,5
1,1,26,2,7,1
1,1,26,2,8,1
1,1,26,4,2,1
1,1,26,4,3,1
1,1,26,4,4,23
1,1,26,5,2,18
1,1,26,5,4,3
1,1,26,5,5,6
1,1,26,5,6,4
1,1,26,5,7,4
1,1,26,6,2,1
1,1,26,6,6,29
1,1,26,6,8,2
