"age","sex","ethhuk11","n"
17,1,2,66
17,1,3,1
17,1,4,6
17,1,5,3
17,1,6,39
17,1,7,11
17,1,8,4
17,2,2,94
17,2,4,2
17,2,5,12
17,2,6,25
17,2,7,10
17,2,8,1
18,1,2,127
18,1,3,2
18,1,4,11
18,1,5,13
18,1,6,40
18,1,7,16
18,1,8,6
18,2,2,245
18,2,3,5
18,2,4,8
18,2,5,20
18,2,6,29
18,2,7,26
19,1,2,380
19,1,4,28
19,1,5,22
19,1,6,65
19,1,7,26
19,1,8,24
19,2,2,668
19,2,3,4
19,2,4,40
19,2,5,56
19,2,6,57
19,2,7,59
19,2,8,15
20,1,2,848
20,1,3,8
20,1,4,56
20,1,5,42
20,1,6,122
20,1,7,57
20,1,8,39
20,2,2,1458
20,2,3,9
20,2,4,78
20,2,5,117
20,2,6,96
20,2,7,87
20,2,8,22
21,1,2,1546
21,1,3,9
21,1,4,129
21,1,5,89
21,1,6,208
21,1,7,84
21,1,8,61
21,2,2,2295
21,2,3,15
21,2,4,135
21,2,5,133
21,2,6,157
21,2,7,115
21,2,8,34
22,1,2,2115
22,1,3,19
22,1,4,188
22,1,5,103
22,1,6,274
22,1,7,104
22,1,8,73
22,2,2,2884
22,2,3,19
22,2,4,197
22,2,5,137
22,2,6,234
22,2,7,191
22,2,8,34
23,1,2,2620
23,1,3,23
23,1,4,249
23,1,5,117
23,1,6,340
23,1,7,129
23,1,8,69
23,2,2,3141
23,2,3,25
23,2,4,225
23,2,5,174
23,2,6,248
23,2,7,231
23,2,8,49
24,1,2,3205
24,1,3,35
24,1,4,291
24,1,5,137
24,1,6,388
24,1,7,151
24,1,8,86
24,2,2,3306
24,2,3,33
24,2,4,292
24,2,5,193
24,2,6,288
24,2,7,249
24,2,8,37
25,1,2,3916
25,1,3,31
25,1,4,378
25,1,5,129
25,1,6,453
25,1,7,174
25,1,8,95
25,2,2,3824
25,2,3,47
25,2,4,358
25,2,5,242
25,2,6,312
25,2,7,286
25,2,8,56
26,1,2,4809
26,1,3,50
26,1,4,568
26,1,5,183
26,1,6,595
26,1,7,206
26,1,8,134
26,2,2,4243
26,2,3,41
26,2,4,440
26,2,5,204
26,2,6,334
26,2,7,292
26,2,8,52
27,1,2,5612
27,1,3,66
27,1,4,701
27,1,5,224
27,1,6,734
27,1,7,255
27,1,8,142
27,2,2,4263
27,2,3,41
27,2,4,511
27,2,5,201
27,2,6,357
27,2,7,321
27,2,8,68
28,1,2,6150
28,1,3,60
28,1,4,891
28,1,5,221
28,1,6,784
28,1,7,294
28,1,8,190
28,2,2,4584
28,2,3,51
28,2,4,593
28,2,5,230
28,2,6,397
28,2,7,337
28,2,8,52
29,1,2,6588
29,1,3,91
29,1,4,1022
29,1,5,219
29,1,6,978
29,1,7,294
29,1,8,194
29,2,2,4665
29,2,3,56
29,2,4,666
29,2,5,216
29,2,6,433
29,2,7,371
29,2,8,71
30,1,2,7239
30,1,3,80
30,1,4,1119
