"age","sex","ethhuk11","n"
1,1,6,1
1,2,6,1
3,2,6,1
4,2,6,1
6,2,8,1
8,1,2,1
12,2,5,1
15,1,8,1
17,1,2,21
17,1,4,3
17,1,5,3
17,1,6,5
17,1,7,3
17,1,8,1
17,2,2,49
17,2,4,1
17,2,5,9
17,2,7,5
18,1,2,78
18,1,3,2
18,1,4,5
18,1,5,11
18,1,6,10
18,1,7,5
18,1,8,3
18,2,2,163
18,2,3,2
18,2,4,6
18,2,5,15
18,2,6,7
18,2,7,14
19,1,2,218
19,1,4,17
19,1,5,17
19,1,6,34
19,1,7,15
19,1,8,17
19,2,2,513
19,2,3,3
19,2,4,23
19,2,5,46
19,2,6,22
19,2,7,39
19,2,8,14
20,1,2,336
20,1,3,3
20,1,4,21
20,1,5,33
20,1,6,53
20,1,7,34
20,1,8,26
20,2,2,892
20,2,3,7
20,2,4,38
20,2,5,87
20,2,6,43
20,2,7,56
20,2,8,16
21,1,2,405
21,1,3,1
21,1,4,40
21,1,5,42
21,1,6,75
21,1,7,50
21,1,8,40
21,2,2,1188
21,2,3,2
21,2,4,55
21,2,5,76
21,2,6,57
21,2,7,80
21,2,8,18
22,1,2,564
22,1,3,6
22,1,4,56
22,1,5,48
22,1,6,116
22,1,7,56
22,1,8,37
22,2,2,1568
22,2,3,4
22,2,4,76
22,2,5,90
22,2,6,74
22,2,7,129
22,2,8,18
23,1,2,715
23,1,3,4
23,1,4,71
23,1,5,47
23,1,6,108
23,1,7,67
23,1,8,35
23,2,2,1849
23,2,3,6
23,2,4,97
23,2,5,115
23,2,6,85
23,2,7,160
23,2,8,20
24,1,2,895
24,1,3,12
24,1,4,92
24,1,5,70
24,1,6,115
24,1,7,84
24,1,8,40
24,2,2,1967
24,2,3,15
24,2,4,116
24,2,5,123
24,2,6,110
24,2,7,183
24,2,8,18
25,1,2,1094
25,1,3,11
25,1,4,80
25,1,5,53
25,1,6,125
25,1,7,85
25,1,8,48
25,2,2,2253
25,2,3,18
25,2,4,138
25,2,5,167
25,2,6,120
25,2,7,222
25,2,8,32
26,1,2,1264
26,1,3,13
26,1,4,134
26,1,5,76
26,1,6,177
26,1,7,93
26,1,8,62
26,2,2,2463
26,2,3,14
26,2,4,159
26,2,5,140
26,2,6,148
26,2,7,207
26,2,8,29
27,1,2,1491
27,1,3,19
27,1,4,144
27,1,5,102
27,1,6,195
27,1,7,146
27,1,8,68
27,2,2,2406
27,2,3,15
27,2,4,207
27,2,5,122
27,2,6,150
27,2,7,232
27,2,8,38
28,1,2,1562
28,1,3,19
28,1,4,192
28,1,5,99
28,1,6,174
28,1,7,140
28,1,8,80
28,2,2,2553
28,2,3,25
28,2,4,204
28,2,5,144
28,2,6,153
28,2,7,240
28,2,8,32
29,1,2,1646
29,1,3,26
29,1,4,187
29,1,5,86
29,1,6,206
29,1,7,116
29,1,8,78
29,2,2,2595
29,2,3,21
29,2,4,255
29,2,5,143
29,2,6,174
29,2,7,257
29,2,8,40
30,1,2,1812
30,1,3,25
30,1,4,197
30,1,5,90
30,1,6,225
30,1,7,131
30,1,8,87
30,2,2,2836
30,2,3,26
30,2,4,231
30,2,5,138
30,2,6,196
30,2,7,254
30,2,8,35
31,1,2,1883
31,1,3,30
31,1,4,238
31,1,5,74
31,1,6,229
31,1,7,156
31,1,8,106
31,2,2,2852
31,2,3,34
31,2,4,259
31,2,5,127
31,2,6,175
31,2,7,301
31,2,8,49
32,1,2,2038
32,1,3,29
32,1,4,240
32,1,5,104
32,1,6,226
32,1,7,142
32,1,8,100
32,2,2,2978
32,2,3,26
32,2,4,251
32,2,5,95
32,2,6,186
32,2,7,306
32,2,8,46
33,1,2,1894
33,1,3,31
33,1,4,263
33,1,5,71
33,1,6,207
33,1,7,170
33,1,8,85
33,2,2,2788
33,2,3,33
33,2,4,241
33,2,5,127
33,2,6,207
33,2,7,278
33,2,8,32
34,1,2,1919
34,1,3,28
34,1,4,224
34,1,5,94
34,1,6,192
34,1,7,153
34,1,8,81
34,2,2,2587
34,2,3,19
34,2,4,276
34,2,5,112
34,2,6,209
34,2,7,304
34,2,8,35
35,1,2,1880
35,1,3,27
35,1,4,216
35,1,5,84
35,1,6,193
35,1,7,189
35,1,8,85
35,2,2,2595
35,2,3,27
35,2,4,277
35,2,5,117
35,2,6,217
35,2,7,292
35,2,8,45
36,1,2,2011
36,1,3,25
36,1,4,206
36,1,5,78
36,1,6,195
36,1,7,159
36,1,8,70
36,2,2,2782
36,2,3,37
36,2,4,238
36,2,5,123
36,2,6,192
36,2,7,303
36,2,8,42
37,1,2,2076
37,1,3,41
37,1,4,186
37,1,5,84
37,1,6,194
37,1,7,158
37,1,8,74
37,2,2,2857
37,2,3,33
37,2,4,258
37,2,5,96
37,2,6,234
37,2,7,323
37,2,8,34
38,1,2,2415
38,1,3,37
38,1,4,191
38,1,5,68
38,1,6,148
38,1,7,155
38,1,8,94
38,2,2,2940
38,2,3,34
38,2,4,233
38,2,5,98
38,2,6,214
38,2,7,295
38,2,8,49
39,1,2,2515
39,1,3,33
39,1,4,170
39,1,5,92
39,1,6,179
39,1,7,200
39,1,8,79
39,2,2,3097
39,2,3,35
39,2,4,253
39,2,5,109
39,2,6,195
39,2,7,297
39,2,8,37
40,1,2,2717
40,1,3,44
40,1,4,175
40,1,5,100
40,1,6,184
40,1,7,168
40,1,8,69
40,2,2,3288
40,2,3,45
40,2,4,212
40,2,5,96
40,2,6,200
40,2,7,289
40,2,8,37
41,1,2,2800
41,1,3,35
41,1,4,158
41,1,5,99
41,1,6,156
41,1,7,182
41,1,8,64
41,2,2,3383
41,2,3,50
41,2,4,230
41,2,5,109
41,2,6,219
41,2,7,321
41,2,8,37
42,1,2,2762
42,1,3,41
42,1,4,153
42,1,5,90
42,1,6,163
42,1,7,177
42,1,8,54
42,2,2,3249
42,2,3,43
42,2,4,172
42,2,5,93
42,2,6,171
42,2,7,328
42,2,8,35
43,1,2,2950
43,1,3,47
43,1,4,125
43,1,5,89
43,1,6,125
43,1,7,237
43,1,8,48
43,2,2,3291
43,2,3,33
