age,agehrp,ethnicityew,ethhuk11,n,samesex
17,17,2,2,1,FALSE
17,18,2,2,1,FALSE
17,19,2,2,6,FALSE
17,19,8,8,1,FALSE
17,20,2,2,5,FALSE
17,20,2,5,1,FALSE
17,21,2,2,4,FALSE
17,22,2,2,3,FALSE
17,23,2,2,2,FALSE
17,24,2,2,1,FALSE
17,24,2,8,1,FALSE
17,25,2,2,1,FALSE
17,26,2,2,2,FALSE
17,28,2,2,2,FALSE
17,28,6,6,1,FALSE
17,29,7,7,1,FALSE
17,31,2,2,1,FALSE
17,36,2,5,1,FALSE
17,36,2,7,1,FALSE
17,36,8,8,1,FALSE
17,37,2,2,1,FALSE
17,37,2,5,1,FALSE
17,39,2,2,1,FALSE
17,39,4,2,1,FALSE
17,39,5,2,1,FALSE
17,40,4,5,1,FALSE
17,41,2,2,2,FALSE
17,42,2,2,1,FALSE
17,44,2,2,1,FALSE
17,44,5,6,1,FALSE
17,47,2,2,1,FALSE
17,48,2,2,1,FALSE
17,49,2,2,1,FALSE
17,50,2,2,2,FALSE
17,51,2,2,1,FALSE
17,51,4,2,1,FALSE
17,54,2,2,1,FALSE
17,56,2,2,1,FALSE
17,57,2,2,1,FALSE
17,58,6,4,1,FALSE
17,62,6,6,1,FALSE
17,66,8,8,1,FALSE
17,70,6,6,1,FALSE
17,73,2,2,1,FALSE
17,74,2,2,1,FALSE
17,76,5,5,1,FALSE
17,81,2,2,2,FALSE
17,86,4,4,1,FALSE
18,18,2,2,4,FALSE
18,18,4,4,1,FALSE
18,19,2,2,19,FALSE
18,19,2,4,2,FALSE
18,19,4,2,1,FALSE
18,19,5,7,1,FALSE
18,20,2,2,20,FALSE
18,20,2,8,1,FALSE
18,20,8,2,1,FALSE
18,21,2,2,20,FALSE
18,21,2,5,1,FALSE
18,21,4,4,2,FALSE
18,22,2,2,15,FALSE
18,22,5,2,1,FALSE
18,22,7,7,1,FALSE
18,22,8,8,1,FALSE
18,23,2,2,11,FALSE
18,23,2,6,1,FALSE
18,23,5,2,1,FALSE
18,23,7,7,1,FALSE
18,24,2,2,12,FALSE
18,24,4,2,1,FALSE
18,24,4,4,1,FALSE
18,25,2,2,6,FALSE
18,25,7,2,1,FALSE
18,25,8,7,1,FALSE
18,26,2,2,6,FALSE
18,26,2,5,1,FALSE
18,26,8,8,1,FALSE
18,27,2,2,3,FALSE
18,28,2,2,2,FALSE
18,28,8,8,1,FALSE
18,29,2,2,4,FALSE
18,29,2,4,1,FALSE
18,31,2,2,2,FALSE
18,31,2,4,1,FALSE
18,31,4,2,1,FALSE
18,32,2,2,3,FALSE
18,32,2,4,1,FALSE
18,35,2,2,1,FALSE
18,35,2,4,1,FALSE
18,35,6,6,1,FALSE
18,36,2,2,1,FALSE
18,37,2,2,1,FALSE
18,38,2,2,1,FALSE
