AreaCode,AreaName,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2011CensusVariation
E06000047,County Durham UA,202205,202906,203435,204102,204906,205601,206233,206475,206545,207006,207451,208165,209094,210292,212036,213884,216054,218029,219623,221716,223589,224589,225555,226752,228089,229685,231176,232552,233930,235318,236693,237926,239144,240363,241592,242908,244141,245338,246442,247561,248670,249661,250619,251491,252349,253230,254072,254889,255612,0.001
E06000005,Darlington UA,40437,40588,40700,40925,41176,41595,41716,42000,41778,42078,42303,42589,42857,43159,43621,44214,44818,45443,45845,46270,46657,46690,46806,46924,47071,47266,47461,47621,47808,47984,48168,48339,48479,48634,48783,48944,49100,49251,49393,49541,49687,49823,49948,50070,50195,50324,50442,50544,50635,0.0003
E06000001,Hartlepool UA,36256,36447,36557,36724,36844,36997,37047,37202,37223,37451,37776,37912,38101,38358,38611,38871,39141,39471,39738,40079,40445,40709,41095,41272,41529,41798,42079,42314,42545,42785,43006,43197,43354,43504,43674,43861,44028,44181,44335,44483,44649,44798,44933,45053,45166,45288,45395,45483,45559,-0.0003
E06000002,Middlesbrough UA,55679,55640,55994,56473,56925,56986,56839,57065,57040,57224,57387,57155,56942,56818,56951,56957,57020,57039,56875,56950,57145,57346,57510,57673,57946,58278,58589,58882,59154,59387,59641,59858,60067,60287,60517,60790,61038,61292,61531,61783,62063,62305,62547,62758,62970,63182,63387,63575,63736,0.001
E06000057,Northumberland UA,123440,124189,124462,125223,125871,126584,127483,128152,129130,129980,130850,131758,132603,133276,134020,134638,135717,136574,137233,137957,138683,139142,139533,140235,140823,141528,142218,142869,143521,144200,144860,145468,146033,146599,147190,147774,148303,148839,149330,149831,150317,150715,151107,151441,151763,152048,152297,152507,152675,-0.0011
E06000003,Redcar and Cleveland UA,57204,57475,57232,57256,57276,57217,57309,57357,57235,57371,57543,57645,57940,58244,58433,58599,58738,58914,59042,59331,59587,59820,59836,60106,60211,60374,60555,60691,60869,61009,61155,61301,61399,61506,61588,61691,61747,61784,61818,61843,61889,61918,61937,61933,61937,61951,61957,61945,61911,0.0003
E06000004,Stockton-on-Tees UA,68087,68694,69261,69639,70019,70704,71221,72034,72753,73751,74638,75295,75843,76004,76567,76956,77325,77805,78212,78770,79218,79749,80257,80810,81386,81979,82601,83159,83706,84240,84730,85215,85668,86109,86546,86993,87441,87877,88274,88679,89091,89465,89845,90185,90528,90871,91191,91496,91768,-0.0007
E08000037,Gateshead,84597,84756,84895,84953,85062,85075,85004,84641,84397,84165,84141,84365,84610,84797,85288,85734,86445,87021,87822,88534,89227,89347,89588,89916,90227,90688,91162,91637,92089,92538,93024,93469,93882,94276,94665,95089,95494,95865,96239,96631,97049,97444,97821,98204,98581,98968,99353,99693,99995,-0.0008
E08000021,Newcastle upon Tyne,114634,116058,117809,116643,116622,116674,115947,115242,114568,113965,113951,113788,113539,113117,114234,113990,114265,114322,114894,115929,116697,117805,119695,120904,122424,123837,125070,126156,127152,128107,129001,129823,130650,131523,132453,133486,134498,135519,136483,137471,138482,139433,140315,141121,141920,142759,143583,144379,145134,0.0039
E08000022,North Tyneside,82195,82295,82340,82383,82747,82938,83085,83505,83361,84042,84964,85536,85879,86156,86908,87657,88399,89224,89863,90731,91479,92064,92563,93098,93708,94469,95201,95970,96692,97428,98189,98904,99631,100335,101045,101792,102490,103199,103866,104536,105209,105810,106431,107032,107608,108182,108709,109230,109722,-0.002
E08000023,South Tyneside,65120,65258,65359,65410,65721,65959,66011,65998,65792,65882,66126,66232,66161,66038,66071,66070,66213,66432,66700,66989,67186,67570,67758,68068,68355,68716,69080,69432,69768,70096,70438,70754,71074,71379,71678,72001,72312,72630,72918,73199,73473,73735,73989,74249,74481,74713,74941,75146,75337,-0.0003
E08000024,Sunderland,115889,116485,117200,116881,116809,116891,116920,117302,117190,117491,118017,118030,117956,118154,118497,118692,118802,118807,119056,119457,119726,120126,120621,121278,121842,122549,123214,123829,124438,125041,125647,126206,126719,127236,127745,128297,128862,129372,129878,130354,130847,131363,131805,132229,132618,133017,133434,133789,134091,0.0003
E06000008,Blackburn with Darwen UA,51518,51735,52194,52507,52808,52808,52930,53308,52919,53054,53421,53845,54266,54778,55106,55418,55727,56211,56733,57084,57443,57595,57440,57330,57398,57502,57665,57806,57959,58121,58256,58418,58567,58715,58875,59016,59182,59332,59470,59603,59709,59833,59946,60036,60127,60198,60279,60355,60406,-0.0016
E06000009,Blackpool UA,62990,63907,64561,64803,64834,64487,64079,63779,63619,63823,63725,63811,64117,64299,64552,64698,64613,64400,64412,64570,64409,64413,64112,63934,63880,63891,63954,64001,64086,64165,64243,64340,64426,64533,64648,64760,64898,65037,65185,65338,65482,65637,65802,65976,66151,66337,66534,66728,66907,-0.0007
E06000049,Cheshire East UA,136530,137672,138877,140258,141898,143061,144085,145007,145480,146396,147383,148481,149750,150989,152439,153639,155129,156524,157539,158540,159717,160820,161491,162565,163566,164644,165699,166785,167787,168781,169727,170620,171511,172371,173214,174083,174949,175784,176583,177345,178132,178857,179564,180213,180807,181383,181928,182421,182884,-0.0017
