"Age","Ethnicity","Rate","Sex"
0,"WBI",0,"F"
1,"WBI",0,"F"
2,"WBI",0,"F"
3,"WBI",0,"F"
4,"WBI",0,"F"
5,"WBI",0,"F"
6,"WBI",0,"F"
7,"WBI",0,"F"
8,"WBI",0,"F"
9,"WBI",0,"F"
10,"WBI",1.11e-05,"F"
11,"WBI",0.000101105,"F"
12,"WBI",0.000679364,"F"
13,"WBI",0.00156455,"F"
14,"WBI",0.003154169,"F"
15,"WBI",0.005686387,"F"
16,"WBI",0.009322147,"F"
17,"WBI",0.014087292,"F"
18,"WBI",0.020845381,"F"
19,"WBI",0.028540567,"F"
20,"WBI",0.036757442,"F"
21,"WBI",0.045019034,"F"
22,"WBI",0.051852756,"F"
23,"WBI",0.058488029,"F"
24,"WBI",0.063789078,"F"
25,"WBI",0.067576041,"F"
26,"WBI",0.069798874,"F"
27,"WBI",0.069646469,"F"
28,"WBI",0.070586373,"F"
29,"WBI",0.070206113,"F"
30,"WBI",0.068735989,"F"
31,"WBI",0.066418396,"F"
32,"WBI",0.061011877,"F"
33,"WBI",0.062459898,"F"
34,"WBI",0.063041829,"F"
35,"WBI",0.062971694,"F"
36,"WBI",0.062433147,"F"
37,"WBI",0.054485899,"F"
38,"WBI",0.051205719,"F"
39,"WBI",0.048007312,"F"
40,"WBI",0.044975593,"F"
41,"WBI",0.042165582,"F"
42,"WBI",0.035581613,"F"
43,"WBI",0.029866835,"F"
44,"WBI",0.024946844,"F"
45,"WBI",0.020741816,"F"
46,"WBI",0.018708942,"F"
47,"WBI",0.015449643,"F"
48,"WBI",0.012709362,"F"
49,"WBI",0.010290345,"F"
50,"WBI",0,"F"
51,"WBI",0,"F"
52,"WBI",0,"F"
53,"WBI",0,"F"
54,"WBI",0,"F"
55,"WBI",0,"F"
56,"WBI",0,"F"
57,"WBI",0,"F"
58,"WBI",0,"F"
59,"WBI",0,"F"
60,"WBI",0,"F"
61,"WBI",0,"F"
62,"WBI",0,"F"
63,"WBI",0,"F"
64,"WBI",0,"F"
65,"WBI",0,"F"
66,"WBI",0,"F"
67,"WBI",0,"F"
68,"WBI",0,"F"
69,"WBI",0,"F"
70,"WBI",0,"F"
71,"WBI",0,"F"
72,"WBI",0,"F"
73,"WBI",0,"F"
74,"WBI",0,"F"
75,"WBI",0,"F"
76,"WBI",0,"F"
77,"WBI",0,"F"
78,"WBI",0,"F"
79,"WBI",0,"F"
80,"WBI",0,"F"
81,"WBI",0,"F"
82,"WBI",0,"F"
83,"WBI",0,"F"
84,"WBI",0,"F"
85,"WBI",0,"F"
0,"WHO",0,"F"
1,"WHO",0,"F"
2,"WHO",0,"F"
3,"WHO",0,"F"
4,"WHO",0,"F"
5,"WHO",0,"F"
6,"WHO",0,"F"
7,"WHO",0,"F"
8,"WHO",0,"F"
9,"WHO",0,"F"
10,"WHO",1.25e-05,"F"
11,"WHO",0.00011368,"F"
12,"WHO",0.000763862,"F"
13,"WHO",0.001759144,"F"
14,"WHO",0.003546476,"F"
15,"WHO",0.006393645,"F"
16,"WHO",0.010481611,"F"
17,"WHO",0.015839432,"F"
18,"WHO",0.023438074,"F"
19,"WHO",0.032090368,"F"
20,"WHO",0.041329236,"F"
21,"WHO",0.050618383,"F"
22,"WHO",0.058302065,"F"
23,"WHO",0.065762616,"F"
24,"WHO",0.071722996,"F"
25,"WHO",0.075980971,"F"
26,"WHO",0.078480274,"F"
27,"WHO",0.078308913,"F"
28,"WHO",0.07936572,"F"
29,"WHO",0.078938164,"F"
30,"WHO",0.07728519,"F"
31,"WHO",0.074679341,"F"
32,"WHO",0.068600374,"F"
33,"WHO",0.070228495,"F"
34,"WHO",0.070882806,"F"
35,"WHO",0.070803947,"F"
36,"WHO",0.070198418,"F"
37,"WHO",0.061262711,"F"
38,"WHO",0.057574552,"F"
39,"WHO",0.053978335,"F"
40,"WHO",0.050569538,"F"
41,"WHO",0.047410026,"F"
42,"WHO",0.040007161,"F"
43,"WHO",0.033581594,"F"
44,"WHO",0.028049667,"F"
45,"WHO",0.023321628,"F"
46,"WHO",0.021035911,"F"
47,"WHO",0.017371229,"F"
48,"WHO",0.014290118,"F"
49,"WHO",0.011570231,"F"
50,"WHO",0,"F"
51,"WHO",0,"F"
52,"WHO",0,"F"
53,"WHO",0,"F"
54,"WHO",0,"F"
55,"WHO",0,"F"
56,"WHO",0,"F"
57,"WHO",0,"F"
58,"WHO",0,"F"
59,"WHO",0,"F"
60,"WHO",0,"F"
61,"WHO",0,"F"
62,"WHO",0,"F"
63,"WHO",0,"F"
64,"WHO",0,"F"
65,"WHO",0,"F"
66,"WHO",0,"F"
67,"WHO",0,"F"
68,"WHO",0,"F"
69,"WHO",0,"F"
70,"WHO",0,"F"
71,"WHO",0,"F"
72,"WHO",0,"F"
73,"WHO",0,"F"
74,"WHO",0,"F"
75,"WHO",0,"F"
76,"WHO",0,"F"
77,"WHO",0,"F"
78,"WHO",0,"F"
79,"WHO",0,"F"
80,"WHO",0,"F"
81,"WHO",0,"F"
82,"WHO",0,"F"
83,"WHO",0,"F"
84,"WHO",0,"F"
85,"WHO",0,"F"
0,"MIX",0,"F"
1,"MIX",0,"F"
2,"MIX",0,"F"
3,"MIX",0,"F"
4,"MIX",0,"F"
5,"MIX",0,"F"
6,"MIX",0,"F"
7,"MIX",0,"F"
8,"MIX",0,"F"
9,"MIX",0,"F"
10,"MIX",5.52e-07,"F"
11,"MIX",9.74e-06,"F"
12,"MIX",0.000126576,"F"
13,"MIX",0.000376005,"F"
14,"MIX",0.000941323,"F"
15,"MIX",0.002043693,"F"
16,"MIX",0.003933923,"F"
17,"MIX",0.006830557,"F"
18,"MIX",0.011469552,"F"
19,"MIX",0.017406423,"F"
20,"MIX",0.024426962,"F"
21,"MIX",0.032144155,"F"
22,"MIX",0.03943816,"F"
23,"MIX",0.046923615,"F"
24,"MIX",0.053410234,"F"
25,"MIX",0.058506236,"F"
26,"MIX",0.061978106,"F"
27,"MIX",0.06301031,"F"
28,"MIX",0.064665892,"F"
29,"MIX",0.064707602,"F"
30,"MIX",0.063386394,"F"
31,"MIX",0.060995974,"F"
32,"MIX",0.055545181,"F"
33,"MIX",0.055963604,"F"
34,"MIX",0.055472024,"F"
35,"MIX",0.054350666,"F"
36,"MIX",0.052834408,"F"
37,"MIX",0.044908849,"F"
38,"MIX",0.040822132,"F"
39,"MIX",0.037011238,"F"
40,"MIX",0.033552455,"F"
41,"MIX",0.030482662,"F"
42,"MIX",0.02475605,"F"
43,"MIX",0.019960605,"F"
44,"MIX",0.015986572,"F"
45,"MIX",0.012723755,"F"
46,"MIX",0.01116464,"F"
47,"MIX",0.008802112,"F"
48,"MIX",0.006903193,"F"
49,"MIX",0.005284077,"F"
50,"MIX",0,"F"
51,"MIX",0,"F"
52,"MIX",0,"F"
53,"MIX",0,"F"
54,"MIX",0,"F"
55,"MIX",0,"F"
56,"MIX",0,"F"
57,"MIX",0,"F"
58,"MIX",0,"F"
59,"MIX",0,"F"
60,"MIX",0,"F"
61,"MIX",0,"F"
62,"MIX",0,"F"
63,"MIX",0,"F"
64,"MIX",0,"F"
65,"MIX",0,"F"
66,"MIX",0,"F"
67,"MIX",0,"F"
68,"MIX",0,"F"
69,"MIX",0,"F"
70,"MIX",0,"F"
71,"MIX",0,"F"
72,"MIX",0,"F"
73,"MIX",0,"F"
74,"MIX",0,"F"
75,"MIX",0,"F"
76,"MIX",0,"F"
77,"MIX",0,"F"
78,"MIX",0,"F"
79,"MIX",0,"F"
80,"MIX",0,"F"
81,"MIX",0,"F"
82,"MIX",0,"F"
83,"MIX",0,"F"
84,"MIX",0,"F"
85,"MIX",0,"F"
0,"IND",0,"F"
1,"IND",0,"F"
2,"IND",0,"F"
3,"IND",0,"F"
4,"IND",0,"F"
5,"IND",0,"F"
6,"IND",0,"F"
7,"IND",0,"F"
8,"IND",0,"F"
9,"IND",0,"F"
10,"IND",5.27e-06,"F"
11,"IND",6.59e-05,"F"
12,"IND",0.000553779,"F"
13,"IND",0.001387908,"F"
14,"IND",0.003003756,"F"
15,"IND",0.005749742,"F"
16,"IND",0.009915115,"F"
17,"IND",0.015633542,"F"
18,"IND",0.0240107,"F"
19,"IND",0.033839755,"F"
20,"IND",0.044582091,"F"
21,"IND",0.055565504,"F"
22,"IND",0.06489466,"F"
23,"IND",0.073931698,"F"
24,"IND",0.081127741,"F"
25,"IND",0.086182958,"F"
26,"IND",0.089002293,"F"
27,"IND",0.088557556,"F"
28,"IND",0.089245434,"F"
29,"IND",0.088082478,"F"
30,"IND",0.08542995,"F"
31,"IND",0.081663826,"F"
32,"IND",0.074045976,"F"
33,"IND",0.074486373,"F"
34,"IND",0.073913233,"F"
35,"IND",0.072637283,"F"
36,"IND",0.070916241,"F"
37,"IND",0.060690811,"F"
38,"IND",0.055716549,"F"
39,"IND",0.051067031,"F"
40,"IND",0.04682288,"F"
41,"IND",0.043025459,"F"
42,"IND",0.035447671,"F"
43,"IND",0.029029642,"F"
44,"IND",0.023641227,"F"
45,"IND",0.019152805,"F"
46,"IND",0.016999293,"F"
47,"IND",0.013664507,"F"
48,"IND",0.010937063,"F"
49,"IND",0.008579063,"F"
50,"IND",0,"F"
51,"IND",0,"F"
52,"IND",0,"F"
53,"IND",0,"F"
54,"IND",0,"F"
55,"IND",0,"F"
56,"IND",0,"F"
57,"IND",0,"F"
58,"IND",0,"F"
59,"IND",0,"F"
60,"IND",0,"F"
61,"IND",0,"F"
62,"IND",0,"F"
63,"IND",0,"F"
64,"IND",0,"F"
65,"IND",0,"F"
66,"IND",0,"F"
67,"IND",0,"F"
68,"IND",0,"F"
69,"IND",0,"F"
70,"IND",0,"F"
71,"IND",0,"F"
72,"IND",0,"F"
73,"IND",0,"F"
74,"IND",0,"F"
75,"IND",0,"F"
76,"IND",0,"F"
77,"IND",0,"F"
78,"IND",0,"F"
79,"IND",0,"F"
80,"IND",0,"F"
81,"IND",0,"F"
82,"IND",0,"F"
83,"IND",0,"F"
84,"IND",0,"F"
85,"IND",0,"F"
0,"PAK",0,"F"
1,"PAK",0,"F"
2,"PAK",0,"F"
3,"PAK",0,"F"
4,"PAK",0,"F"
5,"PAK",0,"F"
6,"PAK",0,"F"
7,"PAK",0,"F"
8,"PAK",0,"F"
9,"PAK",0,"F"
10,"PAK",0.000541565,"F"
11,"PAK",0.002088577,"F"
12,"PAK",0.007146291,"F"
13,"PAK",0.012503469,"F"
14,"PAK",0.01983118,"F"
15,"PAK",0.028960029,"F"
16,"PAK",0.039433874,"F"
17,"PAK",0.050590274,"F"
18,"PAK",0.064307057,"F"
19,"PAK",0.077506776,"F"
20,"PAK",0.089509854,"F"
21,"PAK",0.099804198,"F"
22,"PAK",0.105439768,"F"
23,"PAK",0.110122026,"F"
24,"PAK",0.112425757,"F"
25,"PAK",0.11255224,"F"
26,"PAK",0.110789705,"F"
27,"PAK",0.105984638,"F"
28,"PAK",0.10347185,"F"
29,"PAK",0.099850319,"F"
30,"PAK",0.095440419,"F"
31,"PAK",0.09052514,"F"
32,"PAK",0.081878999,"F"
33,"PAK",0.082745094,"F"
34,"PAK",0.082880545,"F"
35,"PAK",0.082485022,"F"
36,"PAK",0.081721339,"F"
37,"PAK",0.071430756,"F"
38,"PAK",0.067474294,"F"
39,"PAK",0.063719898,"F"
40,"PAK",0.060222338,"F"
41,"PAK",0.057012214,"F"
42,"PAK",0.048740294,"F"
43,"PAK",0.041524644,"F"
44,"PAK",0.035263599,"F"
45,"PAK",0.029856813,"F"
46,"PAK",0.027236822,"F"
47,"PAK",0.022958925,"F"
48,"PAK",0.019305109,"F"
49,"PAK",0.016039471,"F"
50,"PAK",0,"F"
51,"PAK",0,"F"
52,"PAK",0,"F"
53,"PAK",0,"F"
54,"PAK",0,"F"
55,"PAK",0,"F"
56,"PAK",0,"F"
57,"PAK",0,"F"
58,"PAK",0,"F"
59,"PAK",0,"F"
60,"PAK",0,"F"
61,"PAK",0,"F"
62,"PAK",0,"F"
63,"PAK",0,"F"
64,"PAK",0,"F"
65,"PAK",0,"F"
66,"PAK",0,"F"
67,"PAK",0,"F"
68,"PAK",0,"F"
69,"PAK",0,"F"
70,"PAK",0,"F"
71,"PAK",0,"F"
72,"PAK",0,"F"
73,"PAK",0,"F"
74,"PAK",0,"F"
75,"PAK",0,"F"
76,"PAK",0,"F"
77,"PAK",0,"F"
78,"PAK",0,"F"
79,"PAK",0,"F"
80,"PAK",0,"F"
81,"PAK",0,"F"
82,"PAK",0,"F"
83,"PAK",0,"F"
84,"PAK",0,"F"
85,"PAK",0,"F"
0,"BAN",0,"F"
1,"BAN",0,"F"
2,"BAN",0,"F"
3,"BAN",0,"F"
4,"BAN",0,"F"
5,"BAN",0,"F"
6,"BAN",0,"F"
7,"BAN",0,"F"
8,"BAN",0,"F"
9,"BAN",0,"F"
10,"BAN",0.000587162,"F"
11,"BAN",0.002264566,"F"
12,"BAN",0.007747204,"F"
13,"BAN",0.013554496,"F"
14,"BAN",0.021498053,"F"
15,"BAN",0.031394387,"F"
16,"BAN",0.042748503,"F"
17,"BAN",0.054842476,"F"
18,"BAN",0.069712042,"F"
19,"BAN",0.084020872,"F"
20,"BAN",0.09703264,"F"
21,"BAN",0.108192283,"F"
22,"BAN",0.114301515,"F"
23,"BAN",0.119377445,"F"
24,"BAN",0.12187511,"F"
25,"BAN",0.122012109,"F"
26,"BAN",0.120101564,"F"
27,"BAN",0.114892771,"F"
28,"BAN",0.112168588,"F"
29,"BAN",0.108242762,"F"
30,"BAN",0.103462226,"F"
31,"BAN",0.098133868,"F"
32,"BAN",0.088761205,"F"
33,"BAN",0.089700256,"F"
34,"BAN",0.089846888,"F"
35,"BAN",0.089417971,"F"
36,"BAN",0.08858997,"F"
37,"BAN",0.077434126,"F"
38,"BAN",0.073144698,"F"
39,"BAN",0.069075172,"F"
40,"BAN",0.06528368,"F"
41,"BAN",0.061803768,"F"
42,"BAN",0.052836802,"F"
43,"BAN",0.045014127,"F"
44,"BAN",0.038226283,"F"
45,"BAN",0.032365152,"F"
46,"BAN",0.02952502,"F"
47,"BAN",0.024887868,"F"
48,"BAN",0.020927621,"F"
49,"BAN",0.017387304,"F"
50,"BAN",0,"F"
51,"BAN",0,"F"
52,"BAN",0,"F"
53,"BAN",0,"F"
54,"BAN",0,"F"
55,"BAN",0,"F"
56,"BAN",0,"F"
57,"BAN",0,"F"
58,"BAN",0,"F"
59,"BAN",0,"F"
60,"BAN",0,"F"
61,"BAN",0,"F"
62,"BAN",0,"F"
63,"BAN",0,"F"
64,"BAN",0,"F"
65,"BAN",0,"F"
66,"BAN",0,"F"
67,"BAN",0,"F"
68,"BAN",0,"F"
69,"BAN",0,"F"
70,"BAN",0,"F"
71,"BAN",0,"F"
72,"BAN",0,"F"
73,"BAN",0,"F"
74,"BAN",0,"F"
75,"BAN",0,"F"
76,"BAN",0,"F"
77,"BAN",0,"F"
78,"BAN",0,"F"
79,"BAN",0,"F"
80,"BAN",0,"F"
81,"BAN",0,"F"
82,"BAN",0,"F"
83,"BAN",0,"F"
84,"BAN",0,"F"
85,"BAN",0,"F"
0,"CHI",0,"F"
1,"CHI",0,"F"
2,"CHI",0,"F"
3,"CHI",0,"F"
4,"CHI",0,"F"
5,"CHI",0,"F"
6,"CHI",0,"F"
7,"CHI",0,"F"
8,"CHI",0,"F"
9,"CHI",0,"F"
10,"CHI",5.46e-07,"F"
11,"CHI",8.19e-06,"F"
12,"CHI",0.000106806,"F"
13,"CHI",0.000317141,"F"
14,"CHI",0.000793946,"F"
15,"CHI",0.001723653,"F"
16,"CHI",0.003317826,"F"
17,"CHI",0.005760715,"F"
18,"CHI",0.009673084,"F"
19,"CHI",0.014679932,"F"
20,"CHI",0.02060072,"F"
21,"CHI",0.027109279,"F"
22,"CHI",0.033260893,"F"
23,"CHI",0.039574063,"F"
24,"CHI",0.045044739,"F"
25,"CHI",0.049342642,"F"
26,"CHI",0.052270733,"F"
27,"CHI",0.053141199,"F"
28,"CHI",0.054537544,"F"
29,"CHI",0.054572671,"F"
30,"CHI",0.05345848,"F"
31,"CHI",0.051442551,"F"
32,"CHI",0.046845588,"F"
33,"CHI",0.047198595,"F"
34,"CHI",0.046784158,"F"
35,"CHI",0.045838513,"F"
36,"CHI",0.044559556,"F"
37,"CHI",0.037875334,"F"
38,"CHI",0.034428298,"F"
39,"CHI",0.031214231,"F"
40,"CHI",0.028297361,"F"
41,"CHI",0.025708307,"F"
42,"CHI",0.020878541,"F"
43,"CHI",0.016834166,"F"
44,"CHI",0.013482554,"F"
45,"CHI",0.010730639,"F"
46,"CHI",0.009416,"F"
47,"CHI",0.007423675,"F"
48,"CHI",0.00582216,"F"
49,"CHI",0.00445664,"F"
50,"CHI",0,"F"
51,"CHI",0,"F"
52,"CHI",0,"F"
53,"CHI",0,"F"
54,"CHI",0,"F"
55,"CHI",0,"F"
56,"CHI",0,"F"
57,"CHI",0,"F"
58,"CHI",0,"F"
59,"CHI",0,"F"
60,"CHI",0,"F"
61,"CHI",0,"F"
62,"CHI",0,"F"
63,"CHI",0,"F"
64,"CHI",0,"F"
65,"CHI",0,"F"
66,"CHI",0,"F"
67,"CHI",0,"F"
68,"CHI",0,"F"
69,"CHI",0,"F"
70,"CHI",0,"F"
71,"CHI",0,"F"
72,"CHI",0,"F"
73,"CHI",0,"F"
74,"CHI",0,"F"
75,"CHI",0,"F"
76,"CHI",0,"F"
77,"CHI",0,"F"
78,"CHI",0,"F"
79,"CHI",0,"F"
80,"CHI",0,"F"
81,"CHI",0,"F"
82,"CHI",0,"F"
83,"CHI",0,"F"
84,"CHI",0,"F"
85,"CHI",0,"F"
0,"OAS",0,"F"
1,"OAS",0,"F"
2,"OAS",0,"F"
3,"OAS",0,"F"
4,"OAS",0,"F"
5,"OAS",0,"F"
6,"OAS",0,"F"
